"Date","Daily_Case","Daily_Hospitalized","Case_7days_avg","BX_Case","BX_Hospitalized","BK_Case","BK_Hospitalized","MN_Case","MN_Hospitalized","QN_Case","QN_Hospitalized","SI_Case","SI_Hospitalized","Year","Month","Day"
2020-02-29,1,1,0,0,0,0,1,1,0,0,0,0,0,2020,29,2
2020-03-01,0,1,0,0,1,0,0,0,0,0,0,0,0,2020,1,3
2020-03-02,0,2,0,0,0,0,2,0,0,0,0,0,0,2020,2,3
2020-03-03,1,7,0,0,1,0,3,0,1,1,2,0,0,2020,3,3
2020-03-04,5,2,0,0,0,1,1,2,1,2,0,0,0,2020,4,3
2020-03-05,3,14,0,0,1,3,3,0,5,0,4,0,1,2020,5,3
2020-03-06,8,8,3,2,1,1,1,3,3,1,2,1,1,2020,6,3
2020-03-07,7,8,3,0,1,2,3,1,0,3,4,1,0,2020,7,3
2020-03-08,21,18,6,3,5,5,8,6,1,6,4,1,0,2020,8,3
2020-03-09,57,37,15,4,7,16,11,24,10,10,8,3,2,2020,9,3
2020-03-10,69,60,24,8,7,11,13,24,12,24,23,2,5,2020,10,3
2020-03-11,155,79,46,19,23,31,12,62,19,40,23,3,2,2020,11,3
2020-03-12,355,106,96,29,19,96,33,137,16,80,36,13,3,2020,12,3
2020-03-13,619,151,183,79,26,166,44,182,31,166,49,26,2,2020,13,3
2020-03-14,642,176,274,86,22,163,40,176,36,194,72,23,7,2020,14,3
2020-03-15,1035,210,419,119,37,432,52,206,34,231,67,47,20,2020,15,3
2020-03-16,2121,341,714,305,73,740,93,457,47,528,114,91,15,2020,16,3
2020-03-17,2452,387,1054,343,61,783,100,567,77,651,129,108,23,2020,17,3
2020-03-18,2971,493,1456,482,110,965,123,538,87,835,153,150,23,2020,18,3
2020-03-19,3706,633,1935,623,135,1204,160,555,106,1065,208,258,26,2020,19,3
2020-03-20,4006,738,2419,723,126,1136,223,653,114,1184,248,310,33,2020,20,3
2020-03-21,2639,739,2704,491,162,554,185,399,118,947,244,248,33,2020,21,3
2020-03-22,2580,774,2925,495,174,755,207,317,132,696,232,317,34,2020,22,3
2020-03-23,3570,1139,3132,729,219,910,297,530,188,1192,393,209,43,2020,23,3
2020-03-24,4497,1301,3424,926,271,1212,363,619,206,1390,422,350,48,2020,24,3
2020-03-25,4875,1424,3696,1068,313,1255,425,586,200,1572,451,394,53,2020,25,3
2020-03-26,5044,1533,3887,998,320,1372,490,626,226,1644,452,404,56,2020,26,3
2020-03-27,5119,1572,4046,1090,316,1426,474,656,223,1576,514,371,65,2020,27,3
2020-03-28,3479,1380,4166,761,315,863,396,388,187,1201,451,266,50,2020,28,3
2020-03-29,3560,1505,4306,699,324,1149,465,407,162,1075,505,230,64,2020,29,3
2020-03-30,6129,1851,4672,1314,352,1754,558,804,277,1858,611,398,72,2020,30,3
2020-03-31,5458,1784,4809,1282,390,1512,544,616,224,1811,594,237,69,2020,31,3
2020-04-01,5449,1740,4891,1240,379,1590,516,573,218,1782,579,264,83,2020,1,4
2020-04-02,5746,1664,4991,1289,357,1610,447,652,242,1826,573,369,74,2020,2,4
2020-04-03,5670,1704,5070,1452,386,1440,450,671,258,1762,560,345,69,2020,3,4
2020-04-04,3866,1443,5125,1012,312,920,380,385,200,1203,522,345,54,2020,4,4
2020-04-05,3780,1399,5157,822,314,1143,404,356,192,1135,441,323,72,2020,5,4
2020-04-06,6353,1744,5189,1514,391,1461,475,721,266,1927,552,730,83,2020,6,4
2020-04-07,6044,1583,5273,1463,335,1397,469,605,194,1949,538,630,69,2020,7,4
2020-04-08,5575,1543,5291,1305,361,1305,456,546,172,1857,519,562,63,2020,8,4
2020-04-09,5070,1341,5194,1285,272,1369,420,558,191,1560,428,298,53,2020,9,4
2020-04-10,4510,1287,5028,1227,297,1144,330,495,179,1343,439,301,62,2020,10,4
2020-04-11,3732,1041,5009,998,249,1131,300,304,132,987,330,311,47,2020,11,4
2020-04-12,2888,949,4882,764,231,703,255,252,130,916,299,253,45,2020,12,4
2020-04-13,3311,1148,4447,692,263,1066,328,394,171,974,342,185,58,2020,13,4
2020-04-14,4144,979,4176,1076,203,1038,267,440,141,1300,337,290,46,2020,14,4
2020-04-15,3876,864,3933,1068,202,882,250,429,131,1180,263,317,32,2020,15,4
2020-04-16,3530,781,3713,940,175,884,230,356,105,1139,238,211,42,2020,16,4
2020-04-17,3586,787,3581,916,170,962,236,330,106,1099,255,279,32,2020,17,4
2020-04-18,2172,583,3358,552,136,575,158,187,85,705,185,153,29,2020,18,4
2020-04-19,2343,534,3280,532,142,635,124,176,70,866,175,134,28,2020,19,4
2020-04-20,3792,629,3349,981,142,983,189,381,96,1223,190,224,32,2020,20,4
2020-04-21,3062,585,3194,641,143,896,162,372,91,937,174,216,24,2020,21,4
2020-04-22,3446,512,3133,927,120,854,140,382,91,1109,154,173,17,2020,22,4
2020-04-23,2841,443,3035,735,111,786,127,400,56,793,137,127,22,2020,23,4
2020-04-24,2535,461,2884,579,99,630,128,408,80,775,138,143,29,2020,24,4
2020-04-25,1595,322,2802,418,80,404,94,145,42,540,92,88,23,2020,25,4
2020-04-26,1003,312,2611,196,75,332,76,98,44,331,101,46,17,2020,26,4
2020-04-27,2290,369,2396,551,92,607,93,302,62,723,107,107,20,2020,27,4
2020-04-28,2726,349,2348,668,88,709,92,323,57,896,106,130,15,2020,28,4
2020-04-29,2340,309,2190,557,79,683,94,285,44,691,87,124,13,2020,29,4
2020-04-30,2022,252,2073,482,60,600,74,217,31,593,79,130,12,2020,30,4
2020-05-01,1887,262,1980,450,73,497,66,240,33,622,82,78,13,2020,1,5
2020-05-02,1058,204,1904,263,52,263,53,138,23,333,65,61,18,2020,2,5
2020-05-03,787,215,1873,153,44,245,58,103,33,251,70,35,13,2020,3,5
2020-05-04,1550,238,1767,349,58,461,73,214,38,437,60,89,14,2020,4,5
2020-05-05,1512,212,1594,294,64,433,66,242,26,462,49,81,11,2020,5,5
2020-05-06,1397,212,1459,279,56,450,62,165,28,443,55,60,15,2020,6,5
2020-05-07,1238,175,1347,298,43,403,53,119,18,358,51,60,13,2020,7,5
2020-05-08,1079,169,1232,250,42,344,53,99,20,344,44,42,11,2020,8,5
2020-05-09,657,122,1174,175,31,119,39,75,12,256,34,32,9,2020,9,5
2020-05-10,457,104,1127,75,24,188,36,95,22,85,18,14,5,2020,10,5
2020-05-11,1232,180,1082,227,46,410,50,192,23,376,58,27,4,2020,11,5
2020-05-12,1285,111,1049,355,26,400,38,163,13,314,27,53,10,2020,12,5
2020-05-13,1333,128,1040,461,27,362,47,156,18,307,27,47,12,2020,13,5
2020-05-14,1110,142,1022,255,26,332,39,149,23,332,44,42,11,2020,14,5
2020-05-15,873,126,992,181,25,259,43,135,23,265,32,33,7,2020,15,5
2020-05-16,485,91,968,108,17,165,30,51,11,136,31,25,3,2020,16,5
2020-05-17,360,81,954,56,23,138,18,50,7,106,28,10,5,2020,17,5
2020-05-18,895,113,906,187,21,266,28,129,25,275,35,38,6,2020,18,5
2020-05-19,1004,115,866,182,28,327,38,166,19,287,26,42,6,2020,19,5
2020-05-20,1077,79,829,278,17,323,32,164,11,256,16,56,5,2020,20,5
2020-05-21,1069,84,823,199,20,336,32,145,9,311,19,78,5,2020,21,5
2020-05-22,1036,101,847,264,25,350,34,153,14,237,26,32,4,2020,22,5
2020-05-23,455,75,842,90,18,143,24,47,9,138,21,37,4,2020,23,5
2020-05-24,467,87,858,101,19,161,22,69,21,121,20,15,5,2020,24,5
