Report Date,FWC Avg Daily census Individual in Shelter - Adults,FWC Avg Daily census Individual in Shelter - Children,FWC Avg Daily census Individual in Shelter - Total,AF Avg Daily census Individual in Shelter - Adults,SA Avg Daily census Individual in Shelter - Men,SA Avg Daily census Individual in Shelter - Women,SA Avg Daily census Individual in Shelter - Total,FWC Unique Individuals by Age - 0 thru 5,FWC Unique Individuals by Age - 6 thru 13,FWC Unique Individuals by Age - 14 thru 17,FWC  Unique Individuals by Age- 18 thru 20,FWC Unique Individuals by Age - 21 thru 29,FWC Unique Individuals by Age - 30 thru 44,FWC Unique Individuals by Age - 45 thru 64,FWC Unique Individuals by Age - 65 and above,FWC Unique Individuals by Age - Total,AF Unique Individuals by Age - 18 thru 20,AF Unique Individuals by Age - 21 thru 29,AF Unique Individuals by Age - 30 thru 44,AF Unique Individuals by Age - 45 thru 64,AF Unique Individuals by Age - 65 and above,AF Unique Individuals by Age - Total,SA Unique Individuals by Age - 18 thru 29,SA Unique Individuals by Age - 30 thru 44,SA Unique Individuals by Age - 45 thru 64,SA Unique Individuals by Age - 65 and above,SA Unique Individuals by Age - Total,FWC Race/Ethnicity HoH - Asian/Pacific Islander,FWC Race/Ethnicity HoH - Black non-Hispanic,FWC Race/Ethnicity HoH - Hispanic,FWC Race/Ethnicity HoH - Native American,FWC Race/Ethnicity HoH - White non-Hispanic,FWC Race/Ethnicity HoH - Unknown,FWC Race/Ethnicity HoH - Total Heads of Households,AF Race/Ethnicity HoH - Asian/Pacific Islander,AF Race/Ethnicity HoH - Black non-Hispanic,AF Race/Ethnicity HoH - Hispanic,AF Race/Ethnicity HoH - Native American,AF Race/Ethnicity HoH - White non-Hispanic,AF Race/Ethnicity HoH - Unknown,AF Race/Ethnicity HoH - Total Heads of Households,SA Race/Ethnicity HoH - Asian/Pacific Islander,SA Race/Ethnicity HoH - Black non-Hispanic,SA Race/Ethnicity HoH - Hispanic,SA Race/Ethnicity HoH - Native American,SA Race/Ethnicity HoH - White non-Hispanic,SA Race/Ethnicity HoH - Unknown,SA Race/Ethnicity HoH - Total Individuals,FWC - Number of School-Aged Children,FWC - Average School Attendance Rate,FWC - Percent of families successfully placed by youngest school-aged child's school address,"HOME-STAT clients placed into permanent housing, transitional housing, and other settings",Total Homebase Enrollments,fwc_total_shelter_placements,af_total_shelter_placements,sa_total_shelter_placements,sa_shelter_exits_into_supportive_housing
07/01/2015,"16,591","22,955","39,546","4,446","8,624","3,346","11,970","11,187","10,730","3,542","1,569","7,214","7,478","2,198",74,"43,992",489,"1,146","1,127","1,959",136,"4,857","2,317","4,410","7,740","1,036","15,503",80,"7,466","4,911",30,396,155,"13,038",8,"1,340",697,7,205,58,"2,315",105,"9,141","4,053",6,"1,560",638,"15,503","18,675",NA,0.52,NA,"2,455",676,88,709,127
08/01/2015,"16,731","23,188","39,919","4,460","8,653","3,433","12,086","11,345","10,495","3,635","1,575","7,342","7,629","2,201",81,"44,303",467,"1,147","1,163","1,961",137,"4,875","2,395","4,573","8,428","1,219","16,615",79,"7,588","4,986",32,404,166,"13,255",11,"1,347",701,6,205,60,"2,330",114,"9,772","4,264",6,"1,775",684,"16,615","18,952",NA,0.49,NA,"2,228",717,67,708,89
09/01/2015,"16,902","23,428","40,330","4,487","8,755","3,492","12,247","11,386","11,093","3,625","1,568","7,328","7,695","2,245",84,"45,024",476,"1,139","1,180","1,982",137,"4,914","2,418","4,502","7,782","1,111","15,813",83,"7,728","4,973",29,409,167,"13,389",10,"1,344",723,7,202,63,"2,349",114,"9,340","4,065",8,"1,623",663,"15,813","19,044",0.845,0.51,NA,"2,250",732,63,762,148
10/01/2015,"16,949","23,384","40,333","4,535","8,920","3,557","12,477","11,304","10,879","3,580","1,557","7,260","7,647","2,241",87,"44,555",489,"1,156","1,215","1,992",145,"4,997","2,437","4,584","7,894","1,115","16,030",79,"7,712","4,903",36,404,166,"13,300",12,"1,365",736,7,203,68,"2,391",121,"9,434","4,160",6,"1,647",662,"16,030","18,634",0.857,0.56,NA,"2,241",646,55,822,134
11/01/2015,"17,060","23,458","40,518","4,556","9,107","3,578","12,685","11,275","10,863","3,543","1,528","7,313","7,639","2,198",84,"44,443",505,"1,163","1,196","1,976",146,"4,986","2,704","4,648","7,652",957,"15,961",82,"7,743","4,884",36,408,159,"13,312",12,"1,378",744,9,199,65,"2,407",113,"9,381","4,146",4,"1,651",666,"15,961","18,518",0.845,0.48,NA,"1,978",530,54,687,110
12/01/2015,"17,074","23,405","40,479","4,595","9,194","3,587","12,781","11,166","10,736","3,562","1,447","7,344","7,621","2,206",80,"44,162",510,"1,207","1,194","2,008",144,"5,063","2,698","4,782","7,780",973,"16,233",77,"7,766","4,837",34,410,164,"13,288",12,"1,384",743,10,195,64,"2,408",117,"9,548","4,218",4,"1,671",675,"16,233","18,242",0.825,0.56,NA,"2,092",628,56,862,170
01/01/2016,"17,131","23,406","40,537","4,660","9,326","3,616","12,942","11,390","10,638","3,506","1,447","7,490","7,544","2,170",80,"44,265",513,"1,227","1,162","1,973",151,"5,026","2,466","4,804","7,980","1,093","16,343",76,"7,835","4,903",32,400,163,"13,409",11,"1,368",746,8,198,62,"2,393",104,"9,584","4,288",2,"1,678",710,"16,366","18,073",0.818,0.53,NA,"1,830",647,64,678,117
02/01/2016,"17,134","23,279","40,413","4,702","9,450","3,617","13,067","11,402","10,473","3,429","1,436","7,481","7,445","2,143",73,"43,882",511,"1,194","1,170","1,959",155,"4,989","2,499","4,781","7,976","1,080","16,336",73,"7,769","4,900",32,402,172,"13,348",13,"1,366",739,8,194,61,"2,381",109,"9,573","4,309",1,"1,646",698,"16,336","17,769",0.827,0.53,NA,"2,031",700,50,697,130
03/01/2016,"17,058","22,900","39,958","4,724","9,511","3,654","13,165","11,493","10,324","3,364","1,476","7,556","7,395","2,127",74,"43,809",508,"1,210","1,187","1,954",150,"5,009","2,627","4,889","8,027","1,066","16,609",78,"7,772","4,904",31,404,182,"13,371",13,"1,372",749,8,193,57,"2,392",111,"9,716","4,387",2,"1,686",707,"16,609","17,506",0.816,0.53,NA,"2,384",749,42,745,137
04/01/2016,"17,121","22,789","39,910","4,790","9,446","3,690","13,136","11,623","10,069","3,300","1,508","7,656","7,298","2,109",82,"43,645",536,"1,238","1,209","1,961",154,"5,098","2,616","4,802","8,035","1,053","16,506",83,"7,774","4,933",32,410,189,"13,421",16,"1,401",754,8,200,58,"2,437",102,"9,641","4,391",2,"1,674",696,"16,506","17,143",0.837,0.49,NA,"2,100",710,46,689,123
05/01/2016,"17,193","22,753","39,946","4,834","9,394","3,718","13,112","11,127","10,216","3,409","1,484","7,635","7,435","2,153",84,"43,543",536,"1,304","1,270","2,027",163,"5,300","2,671","4,856","8,002","1,066","16,595",86,"7,777","4,959",29,410,187,"13,448",20,"1,469",767,7,204,57,"2,524",100,"9,579","4,468",3,"1,706",739,"16,595","16,948",0.82,0.48,NA,"1,986",735,67,661,118
06/01/2016,"17,179","22,643","39,822","4,916","9,315","3,745","13,060","11,211","10,135","3,371","1,493","7,667","7,458","2,128",78,"43,541",551,"1,307","1,303","2,048",166,"5,375","2,669","4,841","7,995","1,052","16,557",78,"7,819","4,982",31,432,190,"13,532",19,"1,477",790,8,209,57,"2,560",103,"9,642","4,405",4,"1,685",718,"16,557","16,738",0.79,0.46,NA,"2,049",740,67,674,136
07/01/2016,"17,385","22,827","40,212","4,937","9,209","3,730","12,939","11,477","10,379","3,412","1,557","7,876","7,626","2,161",74,"44,562",564,"1,287","1,275","2,056",163,"5,345","2,839","4,918","7,881",999,"16,637",90,"8,008","5,114",30,447,197,"13,886",18,"1,469",806,6,190,56,"2,545",112,"9,734","4,507",3,"1,670",611,"16,637","18,130",NA,0.42,139,"2,326",705,59,610,78
